# Cry of Fear: Enhanced - Spanish strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\spanish.
english	translation	where
CRY OF FEAR	CRY OF FEAR	menus/Main.cpp:68;menus/Main.cpp:77
ENHANCED	ENHANCED	menus/Main.cpp:78
Do you wish to stop playing now?	¿Seguro que quieres dejar de jugar?	menus/Main.cpp:207;menus/Main.cpp:369
QUIT	SALIR	menus/Main.cpp:209
Quit	Salir	menus/Main.cpp:211;menus/Main.cpp:369
QUIT TO MENU	SALIR AL MENÚ	menus/Main.cpp:233
Really disconnect?	¿Seguro que quieres desconectarte?	menus/Main.cpp:235;menus/ConnectionProgress.cpp:240
Starting a Hazard Course will exit\nany current game, OK to exit?	El entrenamiento cerrará\nla partida actual. ¿Continuar?	menus/Main.cpp:242
Console	Consola	menus/Main.cpp:316;menus/ConnectionProgress.cpp:223
Show console	Mostrar la consola	menus/Main.cpp:316
Resume game	Continuar	menus/Main.cpp:326
Return to game.	Volver al juego.	menus/Main.cpp:326
Disconnect	Desconectar	menus/Main.cpp:331;menus/ConnectionProgress.cpp:236
Disconnect from server	Desconectarse del servidor	menus/Main.cpp:331
New Game	Nueva partida	menus/Main.cpp:336
Start a new game.	Empezar una nueva partida.	menus/Main.cpp:336
Training Room	Entrenamiento	menus/Main.cpp:341
Multiplayer	Multijugador	menus/Main.cpp:347
Options	Opciones	menus/Main.cpp:352;controls/YesNoMessageBox.cpp:325
Change game settings, configure controls	Cambiar los ajustes del juego y los controles	menus/Main.cpp:352
Change game	Cambiar de juego	menus/Main.cpp:359
Select a custom game	Elegir otro juego	menus/Main.cpp:359
Previews	Avances	menus/Main.cpp:364
Find more about Valve's product lineup	Descubre otros juegos de Valve	menus/Main.cpp:364
Custom Campaign	Campaña personalizada	menus/Main.cpp:487;menus/CryOfFear.cpp:748
Play one of the campaigns in cryoffear/maps	Jugar una de las campañas de cryoffear/maps	menus/Main.cpp:487
Join Server	Unirse a un servidor	menus/Main.cpp:492
Find and join a co-op server	Buscar y unirse a un servidor cooperativo	menus/Main.cpp:492
Host Server	Crear servidor	menus/Main.cpp:497
Start a co-op server	Iniciar un servidor cooperativo	menus/Main.cpp:497
Language	Idioma	menus/Main.cpp:506;menus/CryOfFear.cpp:985;menus/AdvancedControls.cpp:703
Choose the subtitle and document language	Elegir el idioma de los subtítulos y documentos	menus/Main.cpp:506
Unlockables	Desbloqueables	menus/Main.cpp:514;menus/CryOfFear.cpp:1897
List the unlockables and open the gallery	Ver los desbloqueables y abrir la galería	menus/Main.cpp:514
Extras	Extras	menus/Main.cpp:523;menus/CryOfFear.cpp:1103
Co-op, unlockables, soundtrack and community links	Cooperativo, desbloqueables, banda sonora y enlaces de la comunidad	menus/Main.cpp:523
Links	Enlaces	menus/Main.cpp:528
Soundtrack, merchandise and community links	Banda sonora, productos y enlaces de la comunidad	menus/Main.cpp:528
Credits	Créditos	menus/Main.cpp:533;menus/CryOfFear.cpp:1272
Who made Cry of Fear, this project and the Polish localisation	Los creadores de Cry of Fear, de este proyecto y de la traducción al polaco	menus/Main.cpp:533
Back	Volver	menus/Main.cpp:538
Return to the main menu	Volver al menú principal	menus/Main.cpp:538
Quit to menu	Salir al menú	menus/Main.cpp:543
Leave the game and return to the main menu	Abandonar la partida y volver al menú principal	menus/Main.cpp:543
Save Game	Guardar partida	menus/Main.cpp:553;menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Save into one of the five shared Cry of Fear slots	Guardar en una de las cinco ranuras compartidas de Cry of Fear	menus/Main.cpp:553
Load Game	Cargar partida	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852;menus/CryOfFear.cpp:2174;menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Load a previously saved game.	Cargar una partida guardada.	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852
Save\\Load Game	Guardar/Cargar	menus/Main.cpp:846
Load a saved game, save the current game.	Cargar una partida o guardar la actual.	menus/Main.cpp:846
Easy	Fácil	menus/CryOfFear.cpp:151
Medium	Normal	menus/CryOfFear.cpp:151
Difficult	Difícil	menus/CryOfFear.cpp:151
Nightmare	Pesadilla	menus/CryOfFear.cpp:151
Start a new game on Easy	Nueva partida en Fácil	menus/CryOfFear.cpp:156
Start a new game on Medium	Nueva partida en Normal	menus/CryOfFear.cpp:157
Start a new game on Difficult	Nueva partida en Difícil	menus/CryOfFear.cpp:158
Start a new game on Nightmare	Nueva partida en Pesadilla	menus/CryOfFear.cpp:159
Enable developer commentary	Activar los comentarios de los desarrolladores	menus/CryOfFear.cpp:352;menus/CryOfFear.cpp:355
[ON ]	[SÍ ]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
[OFF]	[NO ]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
Custom campaign: %s (first map %s)	Campaña personalizada: %s (primer mapa %s)	menus/CryOfFear.cpp:375
Cry of Fear	Cry of Fear	menus/CryOfFear.cpp:378
Nightmare has to be unlocked in game (scriptsettings.dat line 83).	Primero hay que desbloquear Pesadilla en el juego (scriptsettings.dat, línea 83).	menus/CryOfFear.cpp:384
Nightmare state is unknown: cryoffear/scriptsettings.dat is missing or line 83 is unreadable.	Estado de Pesadilla desconocido: falta cryoffear/scriptsettings.dat o la línea 83 no se puede leer.	menus/CryOfFear.cpp:385
Locked	Bloqueado	menus/CryOfFear.cpp:387;menus/CryOfFear.cpp:1839
Choose a difficulty	Elige la dificultad	menus/CryOfFear.cpp:427
NEW GAME	NUEVA PARTIDA	menus/CryOfFear.cpp:433
Play with the developer commentary track	Jugar con los comentarios de los desarrolladores	menus/CryOfFear.cpp:476
Skip prologue	Saltar el prólogo	menus/CryOfFear.cpp:479
Start at c_nightmare, past the three-minute intro sequence. The intro grants nothing, so nothing is lost	Empezar en c_nightmare, tras la introducción de tres minutos. La introducción no da nada, así que no pierdes nada	menus/CryOfFear.cpp:480
Cancel	Cancelar	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:753;menus/Controls.cpp:263;menus/Controls.cpp:269;menus/VideoModes.cpp:991;menus/VideoModes.cpp:997;menus/LoadGame.cpp:462;menus/CreateGame.cpp:237;menus/CreateGame.cpp:307;controls/YesNoMessageBox.cpp:86
Go back to the Main menu	Volver al menú principal	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/SaveLoad.cpp:150
Start	Empezar	menus/CryOfFear.cpp:500;menus/CreateGame.cpp:238
Start a new game on the selected difficulty	Empezar una nueva partida en la dificultad elegida	menus/CryOfFear.cpp:500
CUSTOM CAMPAIGN	CAMPAÑA PERSONALIZADA	menus/CryOfFear.cpp:751
Play	Jugar	menus/CryOfFear.cpp:759
From maps/*.custom	De maps/*.custom	menus/CryOfFear.cpp:768
Campaign	Campaña	menus/CryOfFear.cpp:777
Author	Autor	menus/CryOfFear.cpp:778
First map	Primer mapa	menus/CryOfFear.cpp:779
%s\n\n%s\n\nFirst map: %s	%s\n\n%s\n\nPrimer mapa: %s	menus/CryOfFear.cpp:837
English	English	menus/CryOfFear.cpp:854;menus/AdvancedControls.cpp:145
Dutch	Neerlandés	menus/CryOfFear.cpp:854
French	Francés	menus/CryOfFear.cpp:854
German	Alemán	menus/CryOfFear.cpp:854
Norwegian	Noruego	menus/CryOfFear.cpp:854
Spanish	Español	menus/CryOfFear.cpp:854
Swedish	Sueco	menus/CryOfFear.cpp:854
Subtitle language: %s	Idioma de los subtítulos: %s	menus/CryOfFear.cpp:969
LANGUAGE	IDIOMA	menus/CryOfFear.cpp:988
Set the subtitle and document language	Establecer el idioma de los subtítulos y documentos	menus/CryOfFear.cpp:997;menus/CryOfFear.cpp:1007
Close	Cerrar	menus/CryOfFear.cpp:1020;menus/CryOfFear.cpp:1139;menus/CryOfFear.cpp:1317;menus/CryOfFear.cpp:1921;menus/Configuration.cpp:93;menus/AdvancedControls.cpp:804;menus/Audio.cpp:185;menus/SaveLoad.cpp:115;menus/ServerBrowser.cpp:1176
Done	Hecho	menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/AdvancedControls.cpp:621;menus/InputDevices.cpp:81;menus/Video.cpp:78;menus/Audio.cpp:185;menus/SaveLoad.cpp:150;menus/ServerBrowser.cpp:1201;menus/ServerInfo.cpp:425;menus/ConnectionWarning.cpp:62
Cry of Fear: Enhanced	Cry of Fear: Enhanced	menus/CryOfFear.cpp:1052
