# Cry of Fear: Enhanced - Swedish strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\swedish.
english	translation	where
CRY OF FEAR	CRY OF FEAR	menus/Main.cpp:68;menus/Main.cpp:77
ENHANCED	ENHANCED	menus/Main.cpp:78
Do you wish to stop playing now?	Vill du verkligen sluta spela?	menus/Main.cpp:207;menus/Main.cpp:369
QUIT	AVSLUTA	menus/Main.cpp:209
Quit	Avsluta	menus/Main.cpp:211;menus/Main.cpp:369
QUIT TO MENU	TILL HUVUDMENYN	menus/Main.cpp:233
Really disconnect?	Vill du verkligen koppla från?	menus/Main.cpp:235;menus/ConnectionProgress.cpp:240
Starting a Hazard Course will exit\nany current game, OK to exit?	Träningen avslutar\ndet pågående spelet. Fortsätta?	menus/Main.cpp:242
Console	Konsol	menus/Main.cpp:316;menus/ConnectionProgress.cpp:223
Show console	Visa konsolen	menus/Main.cpp:316
Resume game	Fortsätt spela	menus/Main.cpp:326
Return to game.	Tillbaka till spelet.	menus/Main.cpp:326
Disconnect	Koppla från	menus/Main.cpp:331;menus/ConnectionProgress.cpp:236
Disconnect from server	Koppla från servern	menus/Main.cpp:331
New Game	Nytt spel	menus/Main.cpp:336
Start a new game.	Starta ett nytt spel.	menus/Main.cpp:336
Training Room	Träningsrum	menus/Main.cpp:341
Multiplayer	Flerspelare	menus/Main.cpp:347
Options	Inställningar	menus/Main.cpp:352;controls/YesNoMessageBox.cpp:325
Change game settings, configure controls	Ändra spelinställningar och kontroller	menus/Main.cpp:352
Change game	Byt spel	menus/Main.cpp:359
Select a custom game	Välj ett annat spel	menus/Main.cpp:359
Previews	Förhandsvisningar	menus/Main.cpp:364
Find more about Valve's product lineup	Upptäck fler spel från Valve	menus/Main.cpp:364
Custom Campaign	Egen kampanj	menus/Main.cpp:487;menus/CryOfFear.cpp:748
Play one of the campaigns in cryoffear/maps	Spela en av kampanjerna i cryoffear/maps	menus/Main.cpp:487
Join Server	Anslut till server	menus/Main.cpp:492
Find and join a co-op server	Hitta och anslut till en co-op-server	menus/Main.cpp:492
Host Server	Starta server	menus/Main.cpp:497
Start a co-op server	Starta en co-op-server	menus/Main.cpp:497
Language	Språk	menus/Main.cpp:506;menus/CryOfFear.cpp:985;menus/AdvancedControls.cpp:703
Choose the subtitle and document language	Välj språk för undertexter och dokument	menus/Main.cpp:506
Unlockables	Upplåsbart	menus/Main.cpp:514;menus/CryOfFear.cpp:1897
List the unlockables and open the gallery	Visa det som kan låsas upp och öppna galleriet	menus/Main.cpp:514
Extras	Extra	menus/Main.cpp:523;menus/CryOfFear.cpp:1103
Co-op, unlockables, soundtrack and community links	Co-op, upplåsbart, soundtrack och länkar till communityn	menus/Main.cpp:523
Links	Länkar	menus/Main.cpp:528
Soundtrack, merchandise and community links	Soundtrack, merch och länkar till communityn	menus/Main.cpp:528
Credits	Medverkande	menus/Main.cpp:533;menus/CryOfFear.cpp:1272
Who made Cry of Fear, this project and the Polish localisation	Skaparna av Cry of Fear, det här projektet och den polska översättningen	menus/Main.cpp:533
Back	Tillbaka	menus/Main.cpp:538
Return to the main menu	Tillbaka till huvudmenyn	menus/Main.cpp:538
Quit to menu	Till huvudmenyn	menus/Main.cpp:543
Leave the game and return to the main menu	Lämna spelet och gå tillbaka till huvudmenyn	menus/Main.cpp:543
Save Game	Spara spel	menus/Main.cpp:553;menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Save into one of the five shared Cry of Fear slots	Spara på en av de fem delade sparplatserna i Cry of Fear	menus/Main.cpp:553
Load Game	Läs in spel	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852;menus/CryOfFear.cpp:2174;menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Load a previously saved game.	Läs in ett sparat spel.	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852
Save\\Load Game	Spara/Läs in	menus/Main.cpp:846
Load a saved game, save the current game.	Läs in ett sparat spel eller spara det nuvarande.	menus/Main.cpp:846
Easy	Lätt	menus/CryOfFear.cpp:151
Medium	Normal	menus/CryOfFear.cpp:151
Difficult	Svår	menus/CryOfFear.cpp:151
Nightmare	Mardröm	menus/CryOfFear.cpp:151
Start a new game on Easy	Nytt spel på Lätt	menus/CryOfFear.cpp:156
Start a new game on Medium	Nytt spel på Normal	menus/CryOfFear.cpp:157
Start a new game on Difficult	Nytt spel på Svår	menus/CryOfFear.cpp:158
Start a new game on Nightmare	Nytt spel på Mardröm	menus/CryOfFear.cpp:159
Enable developer commentary	Slå på utvecklarkommentarer	menus/CryOfFear.cpp:352;menus/CryOfFear.cpp:355
[ON ]	[PÅ ]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
[OFF]	[AV ]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
Custom campaign: %s (first map %s)	Egen kampanj: %s (första karta %s)	menus/CryOfFear.cpp:375
Cry of Fear	Cry of Fear	menus/CryOfFear.cpp:378
Nightmare has to be unlocked in game (scriptsettings.dat line 83).	Mardröm måste först låsas upp i spelet (scriptsettings.dat, rad 83).	menus/CryOfFear.cpp:384
Nightmare state is unknown: cryoffear/scriptsettings.dat is missing or line 83 is unreadable.	Status för Mardröm är okänd: cryoffear/scriptsettings.dat saknas eller rad 83 går inte att läsa.	menus/CryOfFear.cpp:385
Locked	Låst	menus/CryOfFear.cpp:387;menus/CryOfFear.cpp:1839
Choose a difficulty	Välj svårighetsgrad	menus/CryOfFear.cpp:427
NEW GAME	NYTT SPEL	menus/CryOfFear.cpp:433
Play with the developer commentary track	Spela med utvecklarkommentarer	menus/CryOfFear.cpp:476
Skip prologue	Hoppa över prologen	menus/CryOfFear.cpp:479
Start at c_nightmare, past the three-minute intro sequence. The intro grants nothing, so nothing is lost	Börja på c_nightmare, efter det tre minuter långa introt. Introt ger ingenting, så du missar inget	menus/CryOfFear.cpp:480
Cancel	Avbryt	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:753;menus/Controls.cpp:263;menus/Controls.cpp:269;menus/VideoModes.cpp:991;menus/VideoModes.cpp:997;menus/LoadGame.cpp:462;menus/CreateGame.cpp:237;menus/CreateGame.cpp:307;controls/YesNoMessageBox.cpp:86
Go back to the Main menu	Tillbaka till huvudmenyn	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/SaveLoad.cpp:150
Start	Starta	menus/CryOfFear.cpp:500;menus/CreateGame.cpp:238
Start a new game on the selected difficulty	Starta ett nytt spel på vald svårighetsgrad	menus/CryOfFear.cpp:500
CUSTOM CAMPAIGN	EGEN KAMPANJ	menus/CryOfFear.cpp:751
Play	Spela	menus/CryOfFear.cpp:759
From maps/*.custom	Från maps/*.custom	menus/CryOfFear.cpp:768
Campaign	Kampanj	menus/CryOfFear.cpp:777
Author	Upphovsperson	menus/CryOfFear.cpp:778
First map	Första karta	menus/CryOfFear.cpp:779
%s\n\n%s\n\nFirst map: %s	%s\n\n%s\n\nFörsta karta: %s	menus/CryOfFear.cpp:837
English	English	menus/CryOfFear.cpp:854;menus/AdvancedControls.cpp:145
Dutch	Nederländska	menus/CryOfFear.cpp:854
French	Franska	menus/CryOfFear.cpp:854
German	Tyska	menus/CryOfFear.cpp:854
Norwegian	Norska	menus/CryOfFear.cpp:854
Spanish	Spanska	menus/CryOfFear.cpp:854
Swedish	Svenska	menus/CryOfFear.cpp:854
Subtitle language: %s	Språk för undertexter: %s	menus/CryOfFear.cpp:969
LANGUAGE	SPRÅK	menus/CryOfFear.cpp:988
Set the subtitle and document language	Ange språk för undertexter och dokument	menus/CryOfFear.cpp:997;menus/CryOfFear.cpp:1007
Close	Stäng	menus/CryOfFear.cpp:1020;menus/CryOfFear.cpp:1139;menus/CryOfFear.cpp:1317;menus/CryOfFear.cpp:1921;menus/Configuration.cpp:93;menus/AdvancedControls.cpp:804;menus/Audio.cpp:185;menus/SaveLoad.cpp:115;menus/ServerBrowser.cpp:1176
Done	Klar	menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/AdvancedControls.cpp:621;menus/InputDevices.cpp:81;menus/Video.cpp:78;menus/Audio.cpp:185;menus/SaveLoad.cpp:150;menus/ServerBrowser.cpp:1201;menus/ServerInfo.cpp:425;menus/ConnectionWarning.cpp:62
Cry of Fear: Enhanced	Cry of Fear: Enhanced	menus/CryOfFear.cpp:1052
Donate	Donera	menus/CryOfFear.cpp:1053
