# Cry of Fear: Enhanced - Norwegian (Bokmål) strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\norwegian.
english	translation	where
CRY OF FEAR	CRY OF FEAR	menus/Main.cpp:68;menus/Main.cpp:77
ENHANCED	ENHANCED	menus/Main.cpp:78
Do you wish to stop playing now?	Vil du virkelig slutte å spille?	menus/Main.cpp:207;menus/Main.cpp:369
QUIT	AVSLUTT	menus/Main.cpp:209
Quit	Avslutt	menus/Main.cpp:211;menus/Main.cpp:369
QUIT TO MENU	TIL HOVEDMENYEN	menus/Main.cpp:233
Really disconnect?	Vil du virkelig koble fra?	menus/Main.cpp:235;menus/ConnectionProgress.cpp:240
Starting a Hazard Course will exit\nany current game, OK to exit?	Treningen avslutter\ndet pågående spillet. Fortsette?	menus/Main.cpp:242
Console	Konsoll	menus/Main.cpp:316;menus/ConnectionProgress.cpp:223
Show console	Vis konsollen	menus/Main.cpp:316
Resume game	Fortsett spillet	menus/Main.cpp:326
Return to game.	Tilbake til spillet.	menus/Main.cpp:326
Disconnect	Koble fra	menus/Main.cpp:331;menus/ConnectionProgress.cpp:236
Disconnect from server	Koble fra serveren	menus/Main.cpp:331
New Game	Nytt spill	menus/Main.cpp:336
Start a new game.	Start et nytt spill.	menus/Main.cpp:336
Training Room	Treningsrom	menus/Main.cpp:341
Multiplayer	Flerspiller	menus/Main.cpp:347
Options	Innstillinger	menus/Main.cpp:352;controls/YesNoMessageBox.cpp:325
Change game settings, configure controls	Endre spillinnstillinger og kontroller	menus/Main.cpp:352
Change game	Bytt spill	menus/Main.cpp:359
Select a custom game	Velg et annet spill	menus/Main.cpp:359
Previews	Forhåndsvisninger	menus/Main.cpp:364
Find more about Valve's product lineup	Utforsk flere spill fra Valve	menus/Main.cpp:364
Custom Campaign	Egen kampanje	menus/Main.cpp:487;menus/CryOfFear.cpp:748
Play one of the campaigns in cryoffear/maps	Spill en av kampanjene i cryoffear/maps	menus/Main.cpp:487
Join Server	Bli med på server	menus/Main.cpp:492
Find and join a co-op server	Finn og bli med på en co-op-server	menus/Main.cpp:492
Host Server	Start server	menus/Main.cpp:497
Start a co-op server	Start en co-op-server	menus/Main.cpp:497
Language	Språk	menus/Main.cpp:506;menus/CryOfFear.cpp:985;menus/AdvancedControls.cpp:703
Choose the subtitle and document language	Velg språk for undertekster og dokumenter	menus/Main.cpp:506
Unlockables	Opplåsbart	menus/Main.cpp:514;menus/CryOfFear.cpp:1897
List the unlockables and open the gallery	Vis det som kan låses opp, og åpne galleriet	menus/Main.cpp:514
Extras	Ekstra	menus/Main.cpp:523;menus/CryOfFear.cpp:1103
Co-op, unlockables, soundtrack and community links	Co-op, opplåsbart, lydspor og lenker til fellesskapet	menus/Main.cpp:523
Links	Lenker	menus/Main.cpp:528
Soundtrack, merchandise and community links	Lydspor, produkter og lenker til fellesskapet	menus/Main.cpp:528
Credits	Rulletekst	menus/Main.cpp:533;menus/CryOfFear.cpp:1272
Who made Cry of Fear, this project and the Polish localisation	Skaperne av Cry of Fear, dette prosjektet og den polske oversettelsen	menus/Main.cpp:533
Back	Tilbake	menus/Main.cpp:538
Return to the main menu	Tilbake til hovedmenyen	menus/Main.cpp:538
Quit to menu	Til hovedmenyen	menus/Main.cpp:543
Leave the game and return to the main menu	Forlat spillet og gå tilbake til hovedmenyen	menus/Main.cpp:543
Save Game	Lagre spill	menus/Main.cpp:553;menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Save into one of the five shared Cry of Fear slots	Lagre i en av de fem delte lagringsplassene i Cry of Fear	menus/Main.cpp:553
Load Game	Last inn spill	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852;menus/CryOfFear.cpp:2174;menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Load a previously saved game.	Last inn et lagret spill.	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852
Save\\Load Game	Lagre/Last inn	menus/Main.cpp:846
Load a saved game, save the current game.	Last inn et lagret spill eller lagre det nåværende.	menus/Main.cpp:846
Easy	Lett	menus/CryOfFear.cpp:151
Medium	Normal	menus/CryOfFear.cpp:151
Difficult	Vanskelig	menus/CryOfFear.cpp:151
Nightmare	Mareritt	menus/CryOfFear.cpp:151
Start a new game on Easy	Nytt spill på Lett	menus/CryOfFear.cpp:156
Start a new game on Medium	Nytt spill på Normal	menus/CryOfFear.cpp:157
Start a new game on Difficult	Nytt spill på Vanskelig	menus/CryOfFear.cpp:158
Start a new game on Nightmare	Nytt spill på Mareritt	menus/CryOfFear.cpp:159
Enable developer commentary	Slå på utviklerkommentarer	menus/CryOfFear.cpp:352;menus/CryOfFear.cpp:355
[ON ]	[PÅ ]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
[OFF]	[AV ]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
Custom campaign: %s (first map %s)	Egen kampanje: %s (første kart %s)	menus/CryOfFear.cpp:375
Cry of Fear	Cry of Fear	menus/CryOfFear.cpp:378
Nightmare has to be unlocked in game (scriptsettings.dat line 83).	Mareritt må først låses opp i spillet (scriptsettings.dat, linje 83).	menus/CryOfFear.cpp:384
Nightmare state is unknown: cryoffear/scriptsettings.dat is missing or line 83 is unreadable.	Status for Mareritt er ukjent: cryoffear/scriptsettings.dat mangler eller linje 83 kan ikke leses.	menus/CryOfFear.cpp:385
Locked	Låst	menus/CryOfFear.cpp:387;menus/CryOfFear.cpp:1839
Choose a difficulty	Velg vanskelighetsgrad	menus/CryOfFear.cpp:427
NEW GAME	NYTT SPILL	menus/CryOfFear.cpp:433
Play with the developer commentary track	Spill med utviklerkommentarer	menus/CryOfFear.cpp:476
Skip prologue	Hopp over prologen	menus/CryOfFear.cpp:479
Start at c_nightmare, past the three-minute intro sequence. The intro grants nothing, so nothing is lost	Start på c_nightmare, etter den tre minutter lange introen. Introen gir deg ingenting, så du går ikke glipp av noe	menus/CryOfFear.cpp:480
Cancel	Avbryt	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:753;menus/Controls.cpp:263;menus/Controls.cpp:269;menus/VideoModes.cpp:991;menus/VideoModes.cpp:997;menus/LoadGame.cpp:462;menus/CreateGame.cpp:237;menus/CreateGame.cpp:307;controls/YesNoMessageBox.cpp:86
Go back to the Main menu	Tilbake til hovedmenyen	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/SaveLoad.cpp:150
Start	Start	menus/CryOfFear.cpp:500;menus/CreateGame.cpp:238
Start a new game on the selected difficulty	Start et nytt spill på valgt vanskelighetsgrad	menus/CryOfFear.cpp:500
CUSTOM CAMPAIGN	EGEN KAMPANJE	menus/CryOfFear.cpp:751
Play	Spill	menus/CryOfFear.cpp:759
From maps/*.custom	Fra maps/*.custom	menus/CryOfFear.cpp:768
Campaign	Kampanje	menus/CryOfFear.cpp:777
Author	Forfatter	menus/CryOfFear.cpp:778
First map	Første kart	menus/CryOfFear.cpp:779
%s\n\n%s\n\nFirst map: %s	%s\n\n%s\n\nFørste kart: %s	menus/CryOfFear.cpp:837
English	English	menus/CryOfFear.cpp:854;menus/AdvancedControls.cpp:145
Dutch	Nederlandsk	menus/CryOfFear.cpp:854
French	Fransk	menus/CryOfFear.cpp:854
German	Tysk	menus/CryOfFear.cpp:854
Norwegian	Norsk	menus/CryOfFear.cpp:854
Spanish	Spansk	menus/CryOfFear.cpp:854
Swedish	Svensk	menus/CryOfFear.cpp:854
Subtitle language: %s	Språk for undertekster: %s	menus/CryOfFear.cpp:969
LANGUAGE	SPRÅK	menus/CryOfFear.cpp:988
Set the subtitle and document language	Angi språk for undertekster og dokumenter	menus/CryOfFear.cpp:997;menus/CryOfFear.cpp:1007
Close	Lukk	menus/CryOfFear.cpp:1020;menus/CryOfFear.cpp:1139;menus/CryOfFear.cpp:1317;menus/CryOfFear.cpp:1921;menus/Configuration.cpp:93;menus/AdvancedControls.cpp:804;menus/Audio.cpp:185;menus/SaveLoad.cpp:115;menus/ServerBrowser.cpp:1176
Done	Ferdig	menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/AdvancedControls.cpp:621;menus/InputDevices.cpp:81;menus/Video.cpp:78;menus/Audio.cpp:185;menus/SaveLoad.cpp:150;menus/ServerBrowser.cpp:1201;menus/ServerInfo.cpp:425;menus/ConnectionWarning.cpp:62
Cry of Fear: Enhanced	Cry of Fear: Enhanced	menus/CryOfFear.cpp:1052
