# Cry of Fear: Enhanced - German strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\german.
english	translation	where
CRY OF FEAR	CRY OF FEAR	menus/Main.cpp:68;menus/Main.cpp:77
ENHANCED	ENHANCED	menus/Main.cpp:78
Do you wish to stop playing now?	Möchtest du jetzt wirklich aufhören?	menus/Main.cpp:207;menus/Main.cpp:369
QUIT	BEENDEN	menus/Main.cpp:209
Quit	Beenden	menus/Main.cpp:211;menus/Main.cpp:369
QUIT TO MENU	ZUM HAUPTMENÜ	menus/Main.cpp:233
Really disconnect?	Verbindung wirklich trennen?	menus/Main.cpp:235;menus/ConnectionProgress.cpp:240
Starting a Hazard Course will exit\nany current game, OK to exit?	Das Training beendet\ndas laufende Spiel. Fortfahren?	menus/Main.cpp:242
Console	Konsole	menus/Main.cpp:316;menus/ConnectionProgress.cpp:223
Show console	Konsole anzeigen	menus/Main.cpp:316
Resume game	Weiterspielen	menus/Main.cpp:326
Return to game.	Zurück zum Spiel.	menus/Main.cpp:326
Disconnect	Trennen	menus/Main.cpp:331;menus/ConnectionProgress.cpp:236
Disconnect from server	Verbindung zum Server trennen	menus/Main.cpp:331
New Game	Neues Spiel	menus/Main.cpp:336
Start a new game.	Ein neues Spiel beginnen.	menus/Main.cpp:336
Training Room	Trainingsraum	menus/Main.cpp:341
Multiplayer	Mehrspieler	menus/Main.cpp:347
Options	Optionen	menus/Main.cpp:352;controls/YesNoMessageBox.cpp:325
Change game settings, configure controls	Spieleinstellungen und Steuerung ändern	menus/Main.cpp:352
Change game	Spiel wechseln	menus/Main.cpp:359
Select a custom game	Anderes Spiel wählen	menus/Main.cpp:359
Previews	Vorschauen	menus/Main.cpp:364
Find more about Valve's product lineup	Mehr über die Spiele von Valve	menus/Main.cpp:364
Custom Campaign	Eigene Kampagne	menus/Main.cpp:487;menus/CryOfFear.cpp:748
Play one of the campaigns in cryoffear/maps	Eine der Kampagnen aus cryoffear/maps spielen	menus/Main.cpp:487
Join Server	Server beitreten	menus/Main.cpp:492
Find and join a co-op server	Einen Koop-Server suchen und beitreten	menus/Main.cpp:492
Host Server	Server erstellen	menus/Main.cpp:497
Start a co-op server	Einen Koop-Server starten	menus/Main.cpp:497
Language	Sprache	menus/Main.cpp:506;menus/CryOfFear.cpp:985;menus/AdvancedControls.cpp:703
Choose the subtitle and document language	Sprache der Untertitel und Dokumente wählen	menus/Main.cpp:506
Unlockables	Freischaltbares	menus/Main.cpp:514;menus/CryOfFear.cpp:1897
List the unlockables and open the gallery	Freischaltbare Inhalte anzeigen und die Galerie öffnen	menus/Main.cpp:514
Extras	Extras	menus/Main.cpp:523;menus/CryOfFear.cpp:1103
Co-op, unlockables, soundtrack and community links	Koop, Freischaltbares, Soundtrack und Community-Links	menus/Main.cpp:523
Links	Links	menus/Main.cpp:528
Soundtrack, merchandise and community links	Soundtrack, Merchandise und Community-Links	menus/Main.cpp:528
Credits	Mitwirkende	menus/Main.cpp:533;menus/CryOfFear.cpp:1272
Who made Cry of Fear, this project and the Polish localisation	Die Macher von Cry of Fear, diesem Projekt und der polnischen Übersetzung	menus/Main.cpp:533
Back	Zurück	menus/Main.cpp:538
Return to the main menu	Zurück zum Hauptmenü	menus/Main.cpp:538
Quit to menu	Zum Hauptmenü	menus/Main.cpp:543
Leave the game and return to the main menu	Das Spiel verlassen und zum Hauptmenü zurückkehren	menus/Main.cpp:543
Save Game	Spiel speichern	menus/Main.cpp:553;menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Save into one of the five shared Cry of Fear slots	In einem der fünf gemeinsamen Cry-of-Fear-Speicherplätze speichern	menus/Main.cpp:553
Load Game	Spiel laden	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852;menus/CryOfFear.cpp:2174;menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Load a previously saved game.	Ein gespeichertes Spiel laden.	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852
Save\\Load Game	Speichern/Laden	menus/Main.cpp:846
Load a saved game, save the current game.	Ein Spiel laden oder das aktuelle speichern.	menus/Main.cpp:846
Easy	Leicht	menus/CryOfFear.cpp:151
Medium	Normal	menus/CryOfFear.cpp:151
Difficult	Schwer	menus/CryOfFear.cpp:151
Nightmare	Albtraum	menus/CryOfFear.cpp:151
Start a new game on Easy	Neues Spiel auf Leicht	menus/CryOfFear.cpp:156
Start a new game on Medium	Neues Spiel auf Normal	menus/CryOfFear.cpp:157
Start a new game on Difficult	Neues Spiel auf Schwer	menus/CryOfFear.cpp:158
Start a new game on Nightmare	Neues Spiel auf Albtraum	menus/CryOfFear.cpp:159
Enable developer commentary	Entwicklerkommentar aktivieren	menus/CryOfFear.cpp:352;menus/CryOfFear.cpp:355
[ON ]	[AN ]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
[OFF]	[AUS]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
Custom campaign: %s (first map %s)	Eigene Kampagne: %s (erste Karte %s)	menus/CryOfFear.cpp:375
Cry of Fear	Cry of Fear	menus/CryOfFear.cpp:378
Nightmare has to be unlocked in game (scriptsettings.dat line 83).	Albtraum muss erst im Spiel freigeschaltet werden (scriptsettings.dat, Zeile 83).	menus/CryOfFear.cpp:384
Nightmare state is unknown: cryoffear/scriptsettings.dat is missing or line 83 is unreadable.	Status von Albtraum unbekannt: cryoffear/scriptsettings.dat fehlt oder Zeile 83 ist unlesbar.	menus/CryOfFear.cpp:385
Locked	Gesperrt	menus/CryOfFear.cpp:387;menus/CryOfFear.cpp:1839
Choose a difficulty	Schwierigkeitsgrad wählen	menus/CryOfFear.cpp:427
NEW GAME	NEUES SPIEL	menus/CryOfFear.cpp:433
Play with the developer commentary track	Mit Entwicklerkommentar spielen	menus/CryOfFear.cpp:476
Skip prologue	Prolog überspringen	menus/CryOfFear.cpp:479
Start at c_nightmare, past the three-minute intro sequence. The intro grants nothing, so nothing is lost	Bei c_nightmare beginnen, nach dem dreiminütigen Intro. Das Intro gibt nichts, also geht nichts verloren	menus/CryOfFear.cpp:480
Cancel	Abbrechen	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:753;menus/Controls.cpp:263;menus/Controls.cpp:269;menus/VideoModes.cpp:991;menus/VideoModes.cpp:997;menus/LoadGame.cpp:462;menus/CreateGame.cpp:237;menus/CreateGame.cpp:307;controls/YesNoMessageBox.cpp:86
Go back to the Main menu	Zurück zum Hauptmenü	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/SaveLoad.cpp:150
Start	Starten	menus/CryOfFear.cpp:500;menus/CreateGame.cpp:238
Start a new game on the selected difficulty	Neues Spiel auf dem gewählten Schwierigkeitsgrad beginnen	menus/CryOfFear.cpp:500
CUSTOM CAMPAIGN	EIGENE KAMPAGNE	menus/CryOfFear.cpp:751
Play	Spielen	menus/CryOfFear.cpp:759
From maps/*.custom	Aus maps/*.custom	menus/CryOfFear.cpp:768
Campaign	Kampagne	menus/CryOfFear.cpp:777
Author	Autor	menus/CryOfFear.cpp:778
First map	Erste Karte	menus/CryOfFear.cpp:779
%s\n\n%s\n\nFirst map: %s	%s\n\n%s\n\nErste Karte: %s	menus/CryOfFear.cpp:837
English	English	menus/CryOfFear.cpp:854;menus/AdvancedControls.cpp:145
Dutch	Niederländisch	menus/CryOfFear.cpp:854
French	Französisch	menus/CryOfFear.cpp:854
German	Deutsch	menus/CryOfFear.cpp:854
Norwegian	Norwegisch	menus/CryOfFear.cpp:854
Spanish	Spanisch	menus/CryOfFear.cpp:854
Swedish	Schwedisch	menus/CryOfFear.cpp:854
Subtitle language: %s	Untertitelsprache: %s	menus/CryOfFear.cpp:969
LANGUAGE	SPRACHE	menus/CryOfFear.cpp:988
Set the subtitle and document language	Sprache der Untertitel und Dokumente festlegen	menus/CryOfFear.cpp:997;menus/CryOfFear.cpp:1007
Close	Schließen	menus/CryOfFear.cpp:1020;menus/CryOfFear.cpp:1139;menus/CryOfFear.cpp:1317;menus/CryOfFear.cpp:1921;menus/Configuration.cpp:93;menus/AdvancedControls.cpp:804;menus/Audio.cpp:185;menus/SaveLoad.cpp:115;menus/ServerBrowser.cpp:1176
