# Cry of Fear: Enhanced - Polish strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review. Vocabulary follows the fan translation where the two overlap
# (Koszmar, Komentarz dewelopera, Książka Simona, Zamknij, Anuluj, Koniec gry, ...).
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\polish.
english	translation	where
CRY OF FEAR	CRY OF FEAR	menus/Main.cpp:68;menus/Main.cpp:77
ENHANCED	ENHANCED	menus/Main.cpp:78
Do you wish to stop playing now?	Czy na pewno chcesz przerwać grę?	menus/Main.cpp:207;menus/Main.cpp:369
QUIT	WYJŚCIE	menus/Main.cpp:209
Quit	Wyjdź	menus/Main.cpp:211;menus/Main.cpp:369
QUIT TO MENU	WYJŚCIE DO MENU	menus/Main.cpp:233
Really disconnect?	Na pewno się rozłączyć?	menus/Main.cpp:235;menus/ConnectionProgress.cpp:240
Starting a Hazard Course will exit\nany current game, OK to exit?	Rozpoczęcie treningu zakończy\nbieżącą grę. Kontynuować?	menus/Main.cpp:242
Console	Konsola	menus/Main.cpp:316;menus/ConnectionProgress.cpp:223
Show console	Pokaż konsolę	menus/Main.cpp:316
Resume game	Wróć do gry	menus/Main.cpp:326
Return to game.	Powrót do gry.	menus/Main.cpp:326
Disconnect	Rozłącz	menus/Main.cpp:331;menus/ConnectionProgress.cpp:236
Disconnect from server	Rozłącz się z serwerem	menus/Main.cpp:331
New Game	Nowa gra	menus/Main.cpp:336
Start a new game.	Rozpocznij nową grę.	menus/Main.cpp:336
Training Room	Trening	menus/Main.cpp:341
Multiplayer	Gra wieloosobowa	menus/Main.cpp:347
Options	Opcje	menus/Main.cpp:352;controls/YesNoMessageBox.cpp:325
Change game settings, configure controls	Zmień ustawienia gry i sterowania	menus/Main.cpp:352
Change game	Zmień grę	menus/Main.cpp:359
Select a custom game	Wybierz inną grę	menus/Main.cpp:359
Previews	Zapowiedzi	menus/Main.cpp:364
Find more about Valve's product lineup	Poznaj inne gry Valve	menus/Main.cpp:364
Custom Campaign	Kampania niestandardowa	menus/Main.cpp:487;menus/CryOfFear.cpp:748
Play one of the campaigns in cryoffear/maps	Zagraj w jedną z kampanii z folderu cryoffear/maps	menus/Main.cpp:487
Join Server	Dołącz do serwera	menus/Main.cpp:492
Find and join a co-op server	Znajdź serwer co-op i dołącz do gry	menus/Main.cpp:492
Host Server	Załóż serwer	menus/Main.cpp:497
Start a co-op server	Załóż serwer co-op	menus/Main.cpp:497
Language	Język	menus/Main.cpp:506;menus/CryOfFear.cpp:985;menus/AdvancedControls.cpp:703
Choose the subtitle and document language	Wybierz język napisów i dokumentów	menus/Main.cpp:506
Unlockables	Odblokowania	menus/Main.cpp:514;menus/CryOfFear.cpp:1897
List the unlockables and open the gallery	Lista rzeczy do odblokowania i galeria	menus/Main.cpp:514
Extras	Dodatki	menus/Main.cpp:523;menus/CryOfFear.cpp:1103
Co-op, unlockables, soundtrack and community links	Co-op, odblokowania, ścieżka dźwiękowa i linki społeczności	menus/Main.cpp:523
Links	Linki	menus/Main.cpp:528
Soundtrack, merchandise and community links	Ścieżka dźwiękowa, gadżety i linki społeczności	menus/Main.cpp:528
Credits	Twórcy	menus/Main.cpp:533;menus/CryOfFear.cpp:1272
Who made Cry of Fear, this project and the Polish localisation	Twórcy Cry of Fear, tego projektu i polskiej lokalizacji	menus/Main.cpp:533
Back	Wstecz	menus/Main.cpp:538
Return to the main menu	Powrót do menu głównego	menus/Main.cpp:538
Quit to menu	Wyjdź do menu	menus/Main.cpp:543
Leave the game and return to the main menu	Opuść grę i wróć do menu głównego	menus/Main.cpp:543
Save Game	Zapisz grę	menus/Main.cpp:553;menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Save into one of the five shared Cry of Fear slots	Zapisz w jednym z pięciu wspólnych slotów Cry of Fear	menus/Main.cpp:553
Load Game	Wczytaj grę	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852;menus/CryOfFear.cpp:2174;menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Load a previously saved game.	Wczytaj wcześniej zapisaną grę.	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852
Save\\Load Game	Zapisz/wczytaj grę	menus/Main.cpp:846
Load a saved game, save the current game.	Wczytaj zapis albo zapisz bieżącą grę.	menus/Main.cpp:846
Easy	Łatwy	menus/CryOfFear.cpp:151
Medium	Normalny	menus/CryOfFear.cpp:151
Difficult	Trudny	menus/CryOfFear.cpp:151
Nightmare	Koszmar	menus/CryOfFear.cpp:151
Start a new game on Easy	Nowa gra na poziomie Łatwy	menus/CryOfFear.cpp:156
Start a new game on Medium	Nowa gra na poziomie Normalny	menus/CryOfFear.cpp:157
Start a new game on Difficult	Nowa gra na poziomie Trudny	menus/CryOfFear.cpp:158
Start a new game on Nightmare	Nowa gra na poziomie Koszmar	menus/CryOfFear.cpp:159
Enable developer commentary	Włącz komentarz dewelopera	menus/CryOfFear.cpp:352;menus/CryOfFear.cpp:355
[ON ]	[WŁ.]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
[OFF]	[WYŁ]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
Custom campaign: %s (first map %s)	Kampania niestandardowa: %s (pierwsza mapa %s)	menus/CryOfFear.cpp:375
Cry of Fear	Cry of Fear	menus/CryOfFear.cpp:378
Nightmare has to be unlocked in game (scriptsettings.dat line 83).	Poziom Koszmar trzeba najpierw odblokować w grze (scriptsettings.dat, linia 83).	menus/CryOfFear.cpp:384
Nightmare state is unknown: cryoffear/scriptsettings.dat is missing or line 83 is unreadable.	Nie wiadomo, czy Koszmar jest odblokowany: brak pliku cryoffear/scriptsettings.dat albo linia 83 jest nieczytelna.	menus/CryOfFear.cpp:385
Locked	Zablokowane	menus/CryOfFear.cpp:387;menus/CryOfFear.cpp:1839
Choose a difficulty	Wybierz poziom trudności	menus/CryOfFear.cpp:427
NEW GAME	NOWA GRA	menus/CryOfFear.cpp:433
Play with the developer commentary track	Graj z komentarzem dewelopera	menus/CryOfFear.cpp:476
Skip prologue	Pomiń prolog	menus/CryOfFear.cpp:479
Start at c_nightmare, past the three-minute intro sequence. The intro grants nothing, so nothing is lost	Zacznij od c_nightmare, z pominięciem trzyminutowego wstępu. Wstęp niczego nie daje, więc nic nie tracisz	menus/CryOfFear.cpp:480
Cancel	Anuluj	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:753;menus/Controls.cpp:263;menus/Controls.cpp:269;menus/VideoModes.cpp:991;menus/VideoModes.cpp:997;menus/LoadGame.cpp:462;menus/CreateGame.cpp:237;menus/CreateGame.cpp:307;controls/YesNoMessageBox.cpp:86
Go back to the Main menu	Powrót do menu głównego	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/SaveLoad.cpp:150
Start	Rozpocznij	menus/CryOfFear.cpp:500;menus/CreateGame.cpp:238
Start a new game on the selected difficulty	Rozpocznij nową grę na wybranym poziomie trudności	menus/CryOfFear.cpp:500
CUSTOM CAMPAIGN	KAMPANIA NIESTANDARDOWA	menus/CryOfFear.cpp:751
Play	Graj	menus/CryOfFear.cpp:759
From maps/*.custom	Z plików maps/*.custom	menus/CryOfFear.cpp:768
Campaign	Kampania	menus/CryOfFear.cpp:777
Author	Autor	menus/CryOfFear.cpp:778
First map	Pierwsza mapa	menus/CryOfFear.cpp:779
%s\n\n%s\n\nFirst map: %s	%s\n\n%s\n\nPierwsza mapa: %s	menus/CryOfFear.cpp:837
English	English	menus/CryOfFear.cpp:854;menus/AdvancedControls.cpp:145
Dutch	Niderlandzki	menus/CryOfFear.cpp:854
French	Francuski	menus/CryOfFear.cpp:854
German	Niemiecki	menus/CryOfFear.cpp:854
Norwegian	Norweski	menus/CryOfFear.cpp:854
Spanish	Hiszpański	menus/CryOfFear.cpp:854
Swedish	Szwedzki	menus/CryOfFear.cpp:854
Subtitle language: %s	Język napisów: %s	menus/CryOfFear.cpp:969
LANGUAGE	JĘZYK	menus/CryOfFear.cpp:988
Set the subtitle and document language	Ustaw język napisów i dokumentów	menus/CryOfFear.cpp:997;menus/CryOfFear.cpp:1007
Close	Zamknij	menus/CryOfFear.cpp:1020;menus/CryOfFear.cpp:1139;menus/CryOfFear.cpp:1317;menus/CryOfFear.cpp:1921;menus/Configuration.cpp:93;menus/AdvancedControls.cpp:804;menus/Audio.cpp:185;menus/SaveLoad.cpp:115;menus/ServerBrowser.cpp:1176
