english	polish	source_dll	file_offset	flagged
To use custom hoodies place a .tga called custom_hoodie.tga in the models\costumes folder	Aby dodać bluzę, umieść plik .TGA o nazwie custom_hoodie.TGA w folderze models\costumes	client	0x0013F478	
David Leatherhoff suit	David Leatherhoff 	client	0x0013F4DC	
ModDB hoodie	ModDB	client	0x0013F4FC	
Hello Kitty suit	Hello Kitty	client	0x0013F50C	
Afraid of Monsters suit	Afraid of Monsters	client	0x0013F520	
Camouflage hoodie	Kamuflaż	client	0x0013F538	
Half-Life Creations hoodie	Half-Life Creations	client	0x0013F54C	
Black Metal suit	Black Metal	client	0x0013F568	
Team Psykskallar hoodie	Team Psykskallar 	client	0x0013F57C	
Awesome suit	Jebać Anime	client	0x0013F594	
Sick Simon suit	Chory Simon	client	0x0013F5A4	
AoM Twitcher suit	AoM Twitcher	client	0x0013F5B4	
Custom hoodie	Własna bluza	client	0x0013F5C8	
Close	Zamknij	client	0x0013F6D8	
Ending seen: 7	Zakończenie:7	client	0x001401FC	
Grade: S	Ocena:S	client	0x00140218	
Grade: A	Ocena:A	client	0x00140224	
Grade: B	Ocena:B	client	0x00140230	
Grade: C	Ocena:C	client	0x0014023C	
Grade: D	Ocena:D	client	0x00140248	
Grade: E	Ocena:E	client	0x00140254	
Grade: F	Ocena:F	client	0x00140260	
%s - Shots fired: %i	%s - Oddane strzały: %i	client	0x0014026C	
%s - Shots hit: %i	%s - Trafione: %i	client	0x00140284	
%s - Shots missed: %i	%s - Chybione: %i	client	0x00140298	
%s - Accuracy: %i	%s - Celność: %i	client	0x001402B0	
%s - Damage taken: %i	%s - Obrażenia: %i	client	0x001402C4	
%s - Time taken: %i:%i:%i	%s - Czas trwania: %i:%i:%i	client	0x001402DC	
%s - Killed by melee: %i	%s - Zabici wręcz: %i	client	0x001402F8	
%s - Killed by shooting: %i	%s - Zabici strzałami: %i	client	0x00140314	
%s - Seconds earned: %i	%s - Zdobyte sekundy:%i	client	0x00140330	
STATS - CAMPAIGN WILL AUTORESTART SOON	STATYSTYKI - KAMPANIA AUTORESTAROTWANA	client	0x00140360	
Shots fired: %i	Oddane:%i	client	0x00140B78	
Shots hit: %i	Trafione:%i	client	0x00140B88	
Shots missed: %i	Chybione strzały:%i	client	0x00140B98	
Overall accuracy: %i percent	Ogólna celność:%i procent	client	0x00140BAC	
Overall damage taken: %i	Całkowite obrażenia:%i	client	0x00140BCC	
Distance travelled on foot: %i.%i km	Dystans pokonany pieszo:%i.%i km	client	0x00140BE8	
Time taken: %i:%i:%i	Czas trwania:%i:%i:%i	client	0x00140C10	
Enemies killed by melee: %i	Wrogowie zabici w wręcz:%i	client	0x00140C28	
Enemies killed by firearms: %i	Wrogowie zabici strzałami:%i	client	0x00140C44	
Syringes used: %i	Strzykawek użyto:%i	client	0x00140C64	
Times saved: %i	Zapisano:%i	client	0x00140C78	
Weapons found: %i	Znaleziono broni:%i	client	0x00140C88	
Difficulty chosen: Easy	Poziom trudności:Łatwy	client	0x00140C9C	
Difficulty chosen: Normal	Poziom trudności:Normalny	client	0x00140CB4	
Difficulty chosen: Hard	Poziom trudności:Trudny	client	0x00140CD0	
Difficulty chosen: Nightmare	Poziom trudności:Koszmar	client	0x00140CE8	
Ending seen: 	Zakończenie:	client	0x00140D08	
Statistics and grade	Statystyki i ocena	client	0x00140D68	
Unlocked: David Leatherhoff suit	Odblokowano: David Leatherhoff	client	0x00140E90	
Unlocked: ModDB hoodie	Odblokowano: ModDb	client	0x00140EB4	
Unlocked: Hello Kitty suit	Odblokowano: Hello Kitty	client	0x00140ECC	
Unlocked: Afraid of Monsters suit	Odblokowano: Afraid of Monsters	client	0x00140EE8	
