# Cry of Fear: Enhanced - Dutch strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\dutch.
english	translation	where
CRY OF FEAR	CRY OF FEAR	menus/Main.cpp:68;menus/Main.cpp:77
ENHANCED	ENHANCED	menus/Main.cpp:78
Do you wish to stop playing now?	Wil je echt stoppen met spelen?	menus/Main.cpp:207;menus/Main.cpp:369
QUIT	AFSLUITEN	menus/Main.cpp:209
Quit	Afsluiten	menus/Main.cpp:211;menus/Main.cpp:369
QUIT TO MENU	NAAR HOOFDMENU	menus/Main.cpp:233
Really disconnect?	Verbinding echt verbreken?	menus/Main.cpp:235;menus/ConnectionProgress.cpp:240
Starting a Hazard Course will exit\nany current game, OK to exit?	De training beëindigt\nhet huidige spel. Doorgaan?	menus/Main.cpp:242
Console	Console	menus/Main.cpp:316;menus/ConnectionProgress.cpp:223
Show console	Console tonen	menus/Main.cpp:316
Resume game	Verder spelen	menus/Main.cpp:326
Return to game.	Terug naar het spel.	menus/Main.cpp:326
Disconnect	Verbreken	menus/Main.cpp:331;menus/ConnectionProgress.cpp:236
Disconnect from server	Verbinding met de server verbreken	menus/Main.cpp:331
New Game	Nieuw spel	menus/Main.cpp:336
Start a new game.	Een nieuw spel beginnen.	menus/Main.cpp:336
Training Room	Trainingsruimte	menus/Main.cpp:341
Multiplayer	Multiplayer	menus/Main.cpp:347
Options	Opties	menus/Main.cpp:352;controls/YesNoMessageBox.cpp:325
Change game settings, configure controls	Spelinstellingen en besturing aanpassen	menus/Main.cpp:352
Change game	Ander spel	menus/Main.cpp:359
Select a custom game	Een ander spel kiezen	menus/Main.cpp:359
Previews	Voorproefjes	menus/Main.cpp:364
Find more about Valve's product lineup	Meer spellen van Valve ontdekken	menus/Main.cpp:364
Custom Campaign	Eigen campagne	menus/Main.cpp:487;menus/CryOfFear.cpp:748
Play one of the campaigns in cryoffear/maps	Een van de campagnes uit cryoffear/maps spelen	menus/Main.cpp:487
Join Server	Server joinen	menus/Main.cpp:492
Find and join a co-op server	Een co-opserver zoeken en joinen	menus/Main.cpp:492
Host Server	Server hosten	menus/Main.cpp:497
Start a co-op server	Een co-opserver starten	menus/Main.cpp:497
Language	Taal	menus/Main.cpp:506;menus/CryOfFear.cpp:985;menus/AdvancedControls.cpp:703
Choose the subtitle and document language	Taal van ondertitels en documenten kiezen	menus/Main.cpp:506
Unlockables	Ontgrendelbaar	menus/Main.cpp:514;menus/CryOfFear.cpp:1897
List the unlockables and open the gallery	Ontgrendelbare extra's bekijken en de galerij openen	menus/Main.cpp:514
Extras	Extra's	menus/Main.cpp:523;menus/CryOfFear.cpp:1103
Co-op, unlockables, soundtrack and community links	Co-op, ontgrendelbare extra's, soundtrack en communitylinks	menus/Main.cpp:523
Links	Links	menus/Main.cpp:528
Soundtrack, merchandise and community links	Soundtrack, merchandise en communitylinks	menus/Main.cpp:528
Credits	Credits	menus/Main.cpp:533;menus/CryOfFear.cpp:1272
Who made Cry of Fear, this project and the Polish localisation	De makers van Cry of Fear, dit project en de Poolse vertaling	menus/Main.cpp:533
Back	Terug	menus/Main.cpp:538
Return to the main menu	Terug naar het hoofdmenu	menus/Main.cpp:538
Quit to menu	Naar hoofdmenu	menus/Main.cpp:543
Leave the game and return to the main menu	Het spel verlaten en terug naar het hoofdmenu	menus/Main.cpp:543
Save Game	Spel opslaan	menus/Main.cpp:553;menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Save into one of the five shared Cry of Fear slots	Opslaan in een van de vijf gedeelde Cry of Fear-plekken	menus/Main.cpp:553
Load Game	Spel laden	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852;menus/CryOfFear.cpp:2174;menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Load a previously saved game.	Een opgeslagen spel laden.	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852
Save\\Load Game	Opslaan/Laden	menus/Main.cpp:846
Load a saved game, save the current game.	Een spel laden of het huidige opslaan.	menus/Main.cpp:846
Easy	Makkelijk	menus/CryOfFear.cpp:151
Medium	Normaal	menus/CryOfFear.cpp:151
Difficult	Moeilijk	menus/CryOfFear.cpp:151
Nightmare	Nachtmerrie	menus/CryOfFear.cpp:151
Start a new game on Easy	Nieuw spel op Makkelijk	menus/CryOfFear.cpp:156
Start a new game on Medium	Nieuw spel op Normaal	menus/CryOfFear.cpp:157
Start a new game on Difficult	Nieuw spel op Moeilijk	menus/CryOfFear.cpp:158
Start a new game on Nightmare	Nieuw spel op Nachtmerrie	menus/CryOfFear.cpp:159
Enable developer commentary	Commentaar van de makers aanzetten	menus/CryOfFear.cpp:352;menus/CryOfFear.cpp:355
[ON ]	[AAN]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
[OFF]	[UIT]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
Custom campaign: %s (first map %s)	Eigen campagne: %s (eerste map %s)	menus/CryOfFear.cpp:375
Cry of Fear	Cry of Fear	menus/CryOfFear.cpp:378
Nightmare has to be unlocked in game (scriptsettings.dat line 83).	Nachtmerrie moet eerst in het spel ontgrendeld worden (scriptsettings.dat, regel 83).	menus/CryOfFear.cpp:384
Nightmare state is unknown: cryoffear/scriptsettings.dat is missing or line 83 is unreadable.	Status van Nachtmerrie onbekend: cryoffear/scriptsettings.dat ontbreekt of regel 83 is onleesbaar.	menus/CryOfFear.cpp:385
Locked	Vergrendeld	menus/CryOfFear.cpp:387;menus/CryOfFear.cpp:1839
Choose a difficulty	Kies een moeilijkheidsgraad	menus/CryOfFear.cpp:427
NEW GAME	NIEUW SPEL	menus/CryOfFear.cpp:433
Play with the developer commentary track	Spelen met commentaar van de makers	menus/CryOfFear.cpp:476
Skip prologue	Proloog overslaan	menus/CryOfFear.cpp:479
Start at c_nightmare, past the three-minute intro sequence. The intro grants nothing, so nothing is lost	Begin bij c_nightmare, na de intro van drie minuten. De intro levert niets op, dus je mist niets	menus/CryOfFear.cpp:480
Cancel	Annuleren	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:753;menus/Controls.cpp:263;menus/Controls.cpp:269;menus/VideoModes.cpp:991;menus/VideoModes.cpp:997;menus/LoadGame.cpp:462;menus/CreateGame.cpp:237;menus/CreateGame.cpp:307;controls/YesNoMessageBox.cpp:86
Go back to the Main menu	Terug naar het hoofdmenu	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/SaveLoad.cpp:150
Start	Starten	menus/CryOfFear.cpp:500;menus/CreateGame.cpp:238
Start a new game on the selected difficulty	Een nieuw spel starten op de gekozen moeilijkheidsgraad	menus/CryOfFear.cpp:500
CUSTOM CAMPAIGN	EIGEN CAMPAGNE	menus/CryOfFear.cpp:751
Play	Spelen	menus/CryOfFear.cpp:759
From maps/*.custom	Uit maps/*.custom	menus/CryOfFear.cpp:768
Campaign	Campagne	menus/CryOfFear.cpp:777
Author	Auteur	menus/CryOfFear.cpp:778
First map	Eerste map	menus/CryOfFear.cpp:779
%s\n\n%s\n\nFirst map: %s	%s\n\n%s\n\nEerste map: %s	menus/CryOfFear.cpp:837
English	English	menus/CryOfFear.cpp:854;menus/AdvancedControls.cpp:145
Dutch	Nederlands	menus/CryOfFear.cpp:854
French	Frans	menus/CryOfFear.cpp:854
German	Duits	menus/CryOfFear.cpp:854
Norwegian	Noors	menus/CryOfFear.cpp:854
Spanish	Spaans	menus/CryOfFear.cpp:854
Swedish	Zweeds	menus/CryOfFear.cpp:854
Subtitle language: %s	Taal ondertitels: %s	menus/CryOfFear.cpp:969
LANGUAGE	TAAL	menus/CryOfFear.cpp:988
Set the subtitle and document language	Taal van ondertitels en documenten instellen	menus/CryOfFear.cpp:997;menus/CryOfFear.cpp:1007
Close	Sluiten	menus/CryOfFear.cpp:1020;menus/CryOfFear.cpp:1139;menus/CryOfFear.cpp:1317;menus/CryOfFear.cpp:1921;menus/Configuration.cpp:93;menus/AdvancedControls.cpp:804;menus/Audio.cpp:185;menus/SaveLoad.cpp:115;menus/ServerBrowser.cpp:1176
Done	Klaar	menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/AdvancedControls.cpp:621;menus/InputDevices.cpp:81;menus/Video.cpp:78;menus/Audio.cpp:185;menus/SaveLoad.cpp:150;menus/ServerBrowser.cpp:1201;menus/ServerInfo.cpp:425;menus/ConnectionWarning.cpp:62
