# Cry of Fear: Enhanced - French strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\french.
english	translation	where
CRY OF FEAR	CRY OF FEAR	menus/Main.cpp:68;menus/Main.cpp:77
ENHANCED	ENHANCED	menus/Main.cpp:78
Do you wish to stop playing now?	Voulez-vous vraiment arrêter de jouer ?	menus/Main.cpp:207;menus/Main.cpp:369
QUIT	QUITTER	menus/Main.cpp:209
Quit	Quitter	menus/Main.cpp:211;menus/Main.cpp:369
QUIT TO MENU	RETOUR AU MENU	menus/Main.cpp:233
Really disconnect?	Vraiment se déconnecter ?	menus/Main.cpp:235;menus/ConnectionProgress.cpp:240
Starting a Hazard Course will exit\nany current game, OK to exit?	L'entraînement va quitter\nla partie en cours. Continuer ?	menus/Main.cpp:242
Console	Console	menus/Main.cpp:316;menus/ConnectionProgress.cpp:223
Show console	Afficher la console	menus/Main.cpp:316
Resume game	Reprendre la partie	menus/Main.cpp:326
Return to game.	Retour au jeu.	menus/Main.cpp:326
Disconnect	Se déconnecter	menus/Main.cpp:331;menus/ConnectionProgress.cpp:236
Disconnect from server	Se déconnecter du serveur	menus/Main.cpp:331
New Game	Nouvelle partie	menus/Main.cpp:336
Start a new game.	Commencer une nouvelle partie.	menus/Main.cpp:336
Training Room	Entraînement	menus/Main.cpp:341
Multiplayer	Multijoueur	menus/Main.cpp:347
Options	Options	menus/Main.cpp:352;controls/YesNoMessageBox.cpp:325
Change game settings, configure controls	Modifier les réglages du jeu et les commandes	menus/Main.cpp:352
Change game	Changer de jeu	menus/Main.cpp:359
Select a custom game	Choisir un autre jeu	menus/Main.cpp:359
Previews	Aperçus	menus/Main.cpp:364
Find more about Valve's product lineup	Découvrir les autres jeux Valve	menus/Main.cpp:364
Custom Campaign	Campagne personnalisée	menus/Main.cpp:487;menus/CryOfFear.cpp:748
Play one of the campaigns in cryoffear/maps	Jouer une des campagnes de cryoffear/maps	menus/Main.cpp:487
Join Server	Rejoindre un serveur	menus/Main.cpp:492
Find and join a co-op server	Trouver et rejoindre un serveur coop	menus/Main.cpp:492
Host Server	Héberger un serveur	menus/Main.cpp:497
Start a co-op server	Lancer un serveur coop	menus/Main.cpp:497
Language	Langue	menus/Main.cpp:506;menus/CryOfFear.cpp:985;menus/AdvancedControls.cpp:703
Choose the subtitle and document language	Choisir la langue des sous-titres et des documents	menus/Main.cpp:506
Unlockables	Bonus	menus/Main.cpp:514;menus/CryOfFear.cpp:1897
List the unlockables and open the gallery	Voir les bonus à débloquer et ouvrir la galerie	menus/Main.cpp:514
Extras	Extras	menus/Main.cpp:523;menus/CryOfFear.cpp:1103
Co-op, unlockables, soundtrack and community links	Coop, bonus, bande-son et liens de la communauté	menus/Main.cpp:523
Links	Liens	menus/Main.cpp:528
Soundtrack, merchandise and community links	Bande-son, produits dérivés et liens de la communauté	menus/Main.cpp:528
Credits	Crédits	menus/Main.cpp:533;menus/CryOfFear.cpp:1272
Who made Cry of Fear, this project and the Polish localisation	Les auteurs de Cry of Fear, de ce projet et de la traduction polonaise	menus/Main.cpp:533
Back	Retour	menus/Main.cpp:538
Return to the main menu	Retour au menu principal	menus/Main.cpp:538
Quit to menu	Retour au menu	menus/Main.cpp:543
Leave the game and return to the main menu	Quitter la partie et revenir au menu principal	menus/Main.cpp:543
Save Game	Sauvegarder	menus/Main.cpp:553;menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Save into one of the five shared Cry of Fear slots	Sauvegarder dans l'un des cinq emplacements partagés de Cry of Fear	menus/Main.cpp:553
Load Game	Charger une partie	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852;menus/CryOfFear.cpp:2174;menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Load a previously saved game.	Charger une partie sauvegardée.	menus/Main.cpp:677;menus/Main.cpp:683;menus/Main.cpp:852
Save\\Load Game	Sauvegarder/Charger	menus/Main.cpp:846
Load a saved game, save the current game.	Charger une sauvegarde ou sauvegarder la partie en cours.	menus/Main.cpp:846
Easy	Facile	menus/CryOfFear.cpp:151
Medium	Normal	menus/CryOfFear.cpp:151
Difficult	Difficile	menus/CryOfFear.cpp:151
Nightmare	Cauchemar	menus/CryOfFear.cpp:151
Start a new game on Easy	Nouvelle partie en Facile	menus/CryOfFear.cpp:156
Start a new game on Medium	Nouvelle partie en Normal	menus/CryOfFear.cpp:157
Start a new game on Difficult	Nouvelle partie en Difficile	menus/CryOfFear.cpp:158
Start a new game on Nightmare	Nouvelle partie en Cauchemar	menus/CryOfFear.cpp:159
Enable developer commentary	Activer les commentaires des développeurs	menus/CryOfFear.cpp:352;menus/CryOfFear.cpp:355
[ON ]	[OUI]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
[OFF]	[NON]	menus/CryOfFear.cpp:355;menus/SaveLoad.cpp:188
Custom campaign: %s (first map %s)	Campagne personnalisée : %s (première carte %s)	menus/CryOfFear.cpp:375
Cry of Fear	Cry of Fear	menus/CryOfFear.cpp:378
Nightmare has to be unlocked in game (scriptsettings.dat line 83).	Le mode Cauchemar doit d'abord être débloqué en jeu (scriptsettings.dat, ligne 83).	menus/CryOfFear.cpp:384
Nightmare state is unknown: cryoffear/scriptsettings.dat is missing or line 83 is unreadable.	État du mode Cauchemar inconnu : cryoffear/scriptsettings.dat est absent ou la ligne 83 est illisible.	menus/CryOfFear.cpp:385
Locked	Verrouillé	menus/CryOfFear.cpp:387;menus/CryOfFear.cpp:1839
Choose a difficulty	Choisissez une difficulté	menus/CryOfFear.cpp:427
NEW GAME	NOUVELLE PARTIE	menus/CryOfFear.cpp:433
Play with the developer commentary track	Jouer avec les commentaires des développeurs	menus/CryOfFear.cpp:476
Skip prologue	Passer le prologue	menus/CryOfFear.cpp:479
Start at c_nightmare, past the three-minute intro sequence. The intro grants nothing, so nothing is lost	Commencer à c_nightmare, après l'intro de trois minutes. L'intro ne donne rien, vous ne perdez donc rien	menus/CryOfFear.cpp:480
Cancel	Annuler	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:753;menus/Controls.cpp:263;menus/Controls.cpp:269;menus/VideoModes.cpp:991;menus/VideoModes.cpp:997;menus/LoadGame.cpp:462;menus/CreateGame.cpp:237;menus/CreateGame.cpp:307;controls/YesNoMessageBox.cpp:86
Go back to the Main menu	Retour au menu principal	menus/CryOfFear.cpp:496;menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/SaveLoad.cpp:150
Start	Commencer	menus/CryOfFear.cpp:500;menus/CreateGame.cpp:238
Start a new game on the selected difficulty	Commencer une nouvelle partie dans la difficulté choisie	menus/CryOfFear.cpp:500
CUSTOM CAMPAIGN	CAMPAGNE PERSONNALISÉE	menus/CryOfFear.cpp:751
Play	Jouer	menus/CryOfFear.cpp:759
From maps/*.custom	Depuis maps/*.custom	menus/CryOfFear.cpp:768
Campaign	Campagne	menus/CryOfFear.cpp:777
Author	Auteur	menus/CryOfFear.cpp:778
First map	Première carte	menus/CryOfFear.cpp:779
%s\n\n%s\n\nFirst map: %s	%s\n\n%s\n\nPremière carte : %s	menus/CryOfFear.cpp:837
English	English	menus/CryOfFear.cpp:854;menus/AdvancedControls.cpp:145
Dutch	Néerlandais	menus/CryOfFear.cpp:854
French	Français	menus/CryOfFear.cpp:854
German	Allemand	menus/CryOfFear.cpp:854
Norwegian	Norvégien	menus/CryOfFear.cpp:854
Spanish	Espagnol	menus/CryOfFear.cpp:854
Swedish	Suédois	menus/CryOfFear.cpp:854
Subtitle language: %s	Langue des sous-titres : %s	menus/CryOfFear.cpp:969
LANGUAGE	LANGUE	menus/CryOfFear.cpp:988
Set the subtitle and document language	Définir la langue des sous-titres et des documents	menus/CryOfFear.cpp:997;menus/CryOfFear.cpp:1007
Close	Fermer	menus/CryOfFear.cpp:1020;menus/CryOfFear.cpp:1139;menus/CryOfFear.cpp:1317;menus/CryOfFear.cpp:1921;menus/Configuration.cpp:93;menus/AdvancedControls.cpp:804;menus/Audio.cpp:185;menus/SaveLoad.cpp:115;menus/ServerBrowser.cpp:1176
Done	Terminé	menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/AdvancedControls.cpp:621;menus/InputDevices.cpp:81;menus/Video.cpp:78;menus/Audio.cpp:185;menus/SaveLoad.cpp:150;menus/ServerBrowser.cpp:1201;menus/ServerInfo.cpp:425;menus/ConnectionWarning.cpp:62
Cry of Fear: Enhanced	Cry of Fear: Enhanced	menus/CryOfFear.cpp:1052
